super_opeid,name,type,tier,tier_name,iclevel,region,state,czname,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,,
31155,Adventist University Of Health Sciences,2,8,Nonselective four-year private not-for-profit,1,3,FL,Orlando,0.12763433,0.215705448,0.22543769,0.273734704,0.157487829,0.033090452,0.016315292,0.00058266,0.000185221,0.192066611,0.085266986,0.231232553,0.194817465,0.296616386,0.036636572,0.173748747,0.168420782,0.330014723,0.291179177,0.084459918,0.108239434,0.308568705,0.226339075,0.272392868,0.133067038,0.062275604,0.123682777,0.289111387,0.391863193,0.104739587,0.089944188,0.186542154,0.180088597,0.438685473,,
1542,Agnes Scott College,2,4,Highly selective private,1,3,GA,Atlanta,0.072003043,0.129967505,0.15526836,0.226090993,0.416670098,0.232552375,0.117624132,0.012381608,0.002919478,0.280223464,0.074104221,0.27148008,0.169420902,0.204771333,0.110971271,0.168730758,0.182854681,0.305753401,0.231689889,0.15743416,0.183979092,0.254960711,0.240333262,0.163292775,0.151936445,0.131433969,0.192503433,0.190688847,0.333437307,0.092061881,0.170706255,0.160047993,0.244762004,0.332421867,,
10056,Aiken Technical College,1,9,Two-year (public and private not-for-profit),2,3,SC,Aiken,0.201153378,0.191781065,0.183504916,0.261641806,0.161918836,0.050870921,0.012990623,0.001542641,1.42783E-05,0.183457982,0.258321675,0.305340803,0.167844657,0.085034882,0.158126587,0.239814906,0.287856275,0.19321453,0.120987702,0.137217962,0.244974374,0.277297931,0.229779862,0.11072987,0.185590345,0.221591115,0.239561256,0.210539633,0.142717652,0.133300743,0.200162747,0.291663391,0.19255212,0.182320999,,
1002,Alabama Agricultural & Mechanical University,1,5,Selective public,1,3,AL,Huntsville,0.243561168,0.264324457,0.196087702,0.176287716,0.119738957,0.032962187,0.009083641,0.000179344,0.000126663,0.123992673,0.222599327,0.234280848,0.245893058,0.173234095,0.124357413,0.176153199,0.254601858,0.263938898,0.180948632,0.096729041,0.167666648,0.250300157,0.271200345,0.214103809,0.101206638,0.163064164,0.265658739,0.245998678,0.22407178,0.123630975,0.112441632,0.206824994,0.266100795,0.291001605,,
1034,Alabama Southern Community College,1,9,Two-year (public and private not-for-profit),2,3,AL,Atmore,0.293899452,0.229185474,0.163529826,0.212459432,0.100925817,0.034645255,0.012100537,0.003593801,0.000223684,0.138174502,0.345016883,0.271507167,0.140578238,0.104723209,0.172660441,0.208769995,0.294903383,0.232336527,0.091329655,0.199827885,0.230780003,0.226314693,0.183933423,0.159143997,0.193499775,0.196120002,0.236665751,0.146281486,0.227432985,0.168562204,0.184603934,0.251280953,0.133138683,0.262414226,,
5463,Alamance Community College,1,9,Two-year (public and private not-for-profit),2,3,NC,Greensboro,0.134097428,0.216393038,0.240865146,0.25753821,0.151106178,0.047014898,0.020127453,0.002242142,4.21807E-05,0.174111742,0.347461089,0.238206624,0.206855341,0.033365204,0.154288679,0.221304276,0.36573189,0.200724051,0.057951104,0.159770751,0.215690028,0.301630117,0.236244275,0.08666483,0.167805853,0.201353831,0.300087105,0.21036264,0.12039057,0.129370974,0.175333219,0.290836248,0.301776008,0.102683551,,
37,Alamo Community College District,1,9,Two-year (public and private not-for-profit),2,3,TX,San Antonio,0.217516425,0.241491306,0.219066278,0.195348993,0.126576997,0.047545817,0.018594264,0.002772422,0.000144082,0.152965353,0.214419922,0.291560738,0.228839692,0.112214294,0.140839711,0.202365972,0.286587186,0.240031436,0.130175696,0.145793364,0.175381556,0.252955276,0.263108037,0.162761766,0.127760701,0.158531927,0.233970394,0.281827311,0.197909666,0.14733473,0.160489248,0.21030996,0.265094422,0.21677164,,
2885,Albany College Of Pharmacy And Health Sciences,2,8,Nonselective four-year private not-for-profit,1,1,NY,Albany,0.039403551,0.101879336,0.186487645,0.276678448,0.39555102,0.165157267,0.041671878,0.001978402,0.000272034,0.044741362,0,0.065878063,0.037291662,0.852088913,0.121278382,0,0.03132511,0.065597025,0.781799484,0.080410398,0.039945586,0.0751589,0.037168898,0.767316217,0.056634025,0.023798929,0.053064006,0.102330048,0.764172991,0.041088838,0.025699178,0.041937762,0.106510519,0.784763703,,
1544,Albany State University,1,5,Selective public,1,3,GA,Albany,0.233010812,0.281636744,0.215800021,0.175935817,0.093616605,0.025878895,0.007332874,0.000947231,5.53046E-05,0.098240127,0.186870227,0.305191671,0.298995202,0.110702773,0.120447268,0.183384866,0.25743342,0.285142185,0.153592261,0.067755656,0.19607348,0.297583405,0.281510523,0.157076936,0.075997532,0.164438459,0.314614762,0.290116997,0.154832251,0.097293739,0.184432236,0.283233524,0.286808147,0.148232355,,
5601,Albany Technical College,1,9,Two-year (public and private not-for-profit),2,3,GA,Albany,0.445306555,0.288225748,0.136132431,0.091694916,0.038640349,0.015377056,0.006204087,0.000590431,0.000176775,0.161338928,0.459084426,0.247546317,0.099749932,0.032280397,0.142243731,0.386803447,0.308969204,0.126022333,0.035961285,0.171329866,0.282716888,0.283776641,0.163331944,0.098844661,0.18442348,0.410181356,0.198245898,0.152008661,0.055140605,0.075753609,0.262955924,0.396105516,0.192333378,0.072851573,,
1374,Albertus Magnus College,2,6,Selective private,1,1,CT,Bridgeport,0.129735245,0.163736763,0.242055874,0.239754849,0.224717269,0.100051233,0.049870253,0.003582891,0.000145413,0.122915598,0.043880638,0.154303996,0.253381074,0.425518694,0.144778988,0.149411869,0.125558367,0.381646527,0.198604248,0.096730403,0.19794606,0.236803571,0.227794298,0.240725668,0.079624057,0.120329192,0.163842585,0.33936949,0.296834676,0.111499338,0.036399392,0.172073815,0.260607191,0.419420264,,
2235,Albion College,2,6,Selective private,1,2,MI,Kalamazoo,0.022652305,0.069142471,0.134883848,0.238326289,0.534995087,0.339732233,0.178971891,0.029275217,0.001655841,0.144087629,0.05908859,0.290885617,0.205165924,0.30077224,0.109161794,0.083761156,0.152445089,0.324696225,0.329935735,0.110174204,0.108130685,0.166118476,0.250710517,0.364866118,0.086924579,0.0931957,0.17647238,0.318803597,0.324603742,0.063193657,0.073397066,0.148816873,0.279657931,0.434934473,,
3229,Albright College,2,6,Selective private,1,1,PA,Reading,0.051434021,0.126789504,0.203652215,0.294183473,0.323940788,0.142663225,0.055048573,0.013267925,0.001129514,0.066032878,0.144183079,0.199287957,0.324022705,0.266473381,0.116937447,0.1058415,0.184052618,0.282635996,0.310532439,0.115728504,0.12505534,0.151634938,0.303755503,0.303825715,0.056152215,0.06836683,0.141286432,0.311582961,0.422611562,0.077855853,0.056160287,0.147602547,0.292504125,0.425877188,,
3806,Alderson Broaddus University,2,6,Selective private,1,3,WV,Elkins,0.127495777,0.23491497,0.280035609,0.237653909,0.119899736,0.038474964,0.021652491,0.000308738,2.20348E-05,0.168188466,0.15789714,0.246889876,0.212383961,0.214640557,0.190277452,0.179991599,0.216314375,0.21587099,0.197545584,0.072584512,0.103049066,0.21759029,0.349514238,0.257261893,0.09922936,0.077806344,0.221885147,0.29101124,0.310067909,0.095121484,0.111196021,0.221084193,0.144826993,0.42777131,,
2668,Alfred University,2,6,Selective private,1,1,NY,Olean,0.065330884,0.120355439,0.191569515,0.265811812,0.35693235,0.17403902,0.089041349,0.018995715,0.003757956,0.211675073,0.110389216,0.196761222,0.255080309,0.22609418,0.078873957,0.16843163,0.206532084,0.258786721,0.287375608,0.071735527,0.090630204,0.195998471,0.271884134,0.369751664,0.086579472,0.091353676,0.156071092,0.259858647,0.406137114,0.089337643,0.114730736,0.156998725,0.243605722,0.395327174,,
